duration,src_bytes,dst_bytes,count,protocol_type,service,flag,label,attack_type
79,161887,312183,12,udp,ftp,REJ,0,normal
840,247529,267757,25,tcp,ssh,S0,0,normal
550,336876,696605,21,udp,ssh,RSTO,0,normal
110,968233,951317,26,icmp,smtp,SF,0,normal
988,593317,918607,2,udp,ftp,S0,0,normal
291,934618,536735,26,icmp,smtp,S0,0,normal
57,2854424,839873,47,icmp,ssh,SF,1,probe
503,636929,77292,46,icmp,ssh,S0,0,normal
352,984472,931592,48,icmp,http,SF,0,normal
158,371992,434435,18,udp,smtp,RSTO,0,normal
401,1183348,318656,38,udp,ftp,SF,1,r2l
8,824159,688969,39,udp,smtp,REJ,1,r2l
643,277407,360187,28,tcp,ftp,S0,0,normal
307,174942,637181,0,udp,ssh,S0,0,normal
256,331663,718843,22,tcp,ssh,RSTO,0,normal
182,136883,112728,16,udp,ftp,SF,0,normal
897,436919,750065,37,tcp,ssh,SF,0,normal
370,8875169,797189,31,icmp,smtp,SF,1,r2l
913,5384965,767046,27,udp,http,RSTO,1,probe
972,616731,49875,11,tcp,ssh,REJ,0,normal
511,38732,463881,0,icmp,smtp,REJ,0,normal
480,287281,459753,3,icmp,http,S0,0,normal
621,653646,408301,12,tcp,http,REJ,0,normal
436,207601,835347,15,udp,smtp,REJ,1,r2l
145,200132,916155,9,icmp,smtp,S0,0,normal
283,128405,426287,5,udp,ssh,REJ,0,normal
442,989309,491911,29,icmp,http,RSTO,0,normal
182,28548,678043,23,icmp,ssh,SF,0,normal
645,916823,475807,10,tcp,ssh,RSTO,0,normal
700,587376,431995,35,udp,smtp,REJ,0,normal
637,235966,755053,16,icmp,ssh,RSTO,0,normal
923,2161227,600887,46,icmp,smtp,S0,1,r2l
322,393994,723653,15,icmp,ftp,RSTO,0,normal
132,814441,117414,32,icmp,ftp,S0,0,normal
780,56916,85894,41,tcp,smtp,RSTO,0,normal
4,629003,550376,44,udp,ftp,SF,0,normal
94,687897,318944,11,udp,ssh,SF,0,normal
727,227706,164556,27,tcp,ftp,REJ,0,normal
116,456820,803417,19,udp,http,RSTO,0,normal
107,410734,221129,31,tcp,http,S0,0,normal
126,99590,85201,42,udp,ftp,SF,0,normal
565,1178164,528021,9,icmp,ssh,SF,1,probe
22,820198,173422,1,udp,smtp,SF,0,normal
287,6327576,205047,43,tcp,smtp,S0,1,probe
670,676733,29547,6,tcp,http,SF,0,normal
183,206791,316169,17,icmp,ftp,RSTO,0,normal
452,280036,386855,35,tcp,smtp,S0,0,normal
543,8946338,952111,16,icmp,ssh,REJ,1,probe
597,273007,435736,28,tcp,http,S0,0,normal
536,140771,644743,12,icmp,ssh,S0,0,normal
248,984909,323495,6,tcp,http,RSTO,0,normal
821,62101,109170,41,icmp,ssh,REJ,0,normal
926,199226,993775,11,icmp,ftp,S0,0,normal
845,246083,824229,39,icmp,ftp,S0,0,normal
